Metric,Category,Player,Value
Age,Top,Ashley Young,38.0
Age,Top,Thiago Silva,38.0
Age,Top,Łukasz Fabiański,38.0
Age,Bottom,Leon Chiwome,17.0
Age,Bottom,Lewis Miley,17.0
Age,Bottom,David Ozoh,18.0
Playing time_Matches played,Top,André Onana,38.0
Playing time_Matches played,Top,Bernd Leno,38.0
Playing time_Matches played,Top,Carlton Morris,38.0
Playing time_Matches played,Bottom,Alex Iwobi,2.0
Playing time_Matches played,Bottom,Ionuț Radu,2.0
Playing time_Matches played,Bottom,Matheus Nunes,2.0
Playing time_Starts,Top,André Onana,38.0
Playing time_Starts,Top,Bernd Leno,38.0
Playing time_Starts,Top,Guglielmo Vicario,38.0
Playing time_Starts,Bottom,David Ozoh,0.0
Playing time_Starts,Bottom,Ivan Perišić,0.0
Playing time_Starts,Bottom,Jesurun Rak Sakyi,0.0
Playing time_Minutes,Top,André Onana,3420.0
Playing time_Minutes,Top,Bernd Leno,3420.0
Playing time_Minutes,Top,Guglielmo Vicario,3420.0
Playing time_Minutes,Bottom,John Fleck,92.0
Playing time_Minutes,Bottom,Kalvin Phillips,93.0
Playing time_Minutes,Bottom,Ivan Perišić,103.0
Performance_non-Penalty Goals,Top,Cole Palmer,33.0
Performance_non-Penalty Goals,Top,Erling Haaland,32.0
Performance_non-Penalty Goals,Top,Ollie Watkins,32.0
Performance_non-Penalty Goals,Bottom,Aaron Cresswell,0.0
Performance_non-Penalty Goals,Bottom,Aaron Hickey,0.0
Performance_non-Penalty Goals,Bottom,Aaron Ramsdale,0.0
Performance_Penalty Goals,Top,Erling Haaland,27.0
Performance_Penalty Goals,Top,Cole Palmer,22.0
Performance_Penalty Goals,Top,Alexander Isak,21.0
Performance_Penalty Goals,Bottom,Aaron Cresswell,0.0
Performance_Penalty Goals,Bottom,Aaron Hickey,0.0
Performance_Penalty Goals,Bottom,Aaron Ramsdale,0.0
Performance_Assists,Top,Ollie Watkins,13.0
Performance_Assists,Top,Cole Palmer,11.0
Performance_Assists,Top,Anthony Gordon,10.0
Performance_Assists,Bottom,Aaron Cresswell,0.0
Performance_Assists,Bottom,Aaron Hickey,0.0
Performance_Assists,Bottom,Aaron Ramsdale,0.0
Performance_Yellow Cards,Top,João Palhinha,13.0
Performance_Yellow Cards,Top,Marcos Senesi,13.0
Performance_Yellow Cards,Top,Anthony Gordon,12.0
